Arrival Time,Frame Number,Frame Length,Flags,Time to Live,Protocol,Source IP,Destination IP,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Window Size,Checksum Status
1724261402.647599000,,,,,,,,,,,,,
,1,,,,,,,,,,,,
,,576,018,118,Hypertext,216.239.34.180,192.168.186.233,443,52840,511,1,5342,Unverified
1724261402.647600000,,,,,,,,,,,,,
,2,,,,,,,,,,,,
,,99,018,118,Hypertext,216.239.34.180,192.168.186.233,443,52840,544,1,5342,Unverified
1724261402.647848000,,,,,,,,,,,,,
,3,,,,,,,,,,,,
,,66,010,64,TCP,192.168.186.233,216.239.34.180,52840,443,2871,544,2603,Unverified
1724261402.650690000,,,,,,,,,,,,,
,4,,,,,,,,,,,,
,,97,018,118,Hypertext,216.239.34.180,192.168.186.233,443,52840,575,1,5342,Unverified
1724261402.650871000,,,,,,,,,,,,,
,5,,,,,,,,,,,,
,,66,010,64,TCP,192.168.186.233,216.239.34.180,52840,443,2871,575,2611,Unverified
1724261402.666442000,,,,,,,,,,,,,
,6,,,,,,,,,,,,
,,66,010,118,TCP,216.239.34.180,192.168.186.233,443,52840,575,40,5342,Unverified
1724261402.666444000,,,,,,,,,,,,,
,7,,,,,,,,,,,,
,,66,010,118,TCP,216.239.34.180,192.168.186.233,443,52840,575,1328,5337,Unverified
1724261402.674421000,,,,,,,,,,,,,
,8,,,,,,,,,,,,
,,66,010,118,TCP,216.239.34.180,192.168.186.233,443,52840,575,2088,5337,Unverified
1724261402.682456000,,,,,,,,,,,,,
,9,,,,,,,,,,,,
,,66,010,118,TCP,216.239.34.180,192.168.186.233,443,52840,575,2871,5337,Unverified
1724261402.727397000,,,,,,,,,,,,,
,10,,,,,,,,,,,,
,,85,,,,2606,2409,443,52414,,,,Unverified
1724261402.740270000,,,,,,,,,,,,,
,11,,,,,,,,,,,,
,,91,,,,2606,2409,443,52414,,,,Unverified
1724261402.740515000,,,,,,,,,,,,,
,12,,,,,,,,,,,,
,,105,,,,2409,2606,52414,443,,,,Unverified
1724261402.740571000,,,,,,,,,,,,,
,13,,,,,,,,,,,,
,,86,,,,2606,2409,443,52414,,,,Unverified
1724261402.740663000,,,,,,,,,,,,,
,14,,,,,,,,,,,,
,,105,,,,2409,2606,52414,443,,,,Unverified
1724261402.742319000,,,,,,,,,,,,,
,15,,,,,,,,,,,,
,,111,,,,2606,2409,443,52414,,,,Unverified
1724261402.742438000,,,,,,,,,,,,,
,16,,,,,,,,,,,,
,,105,,,,2409,2606,52414,443,,,,Unverified
1724261403.149036000,,,,,,,,,,,,,
,17,,,,,,,,,,,,
,,1262,,,,2606,2409,443,52414,,,,Unverified
1724261403.149040000,,,,,,,,,,,,,
,18,,,,,,,,,,,,
,,193,,,,2606,2409,443,52414,,,,Unverified
1724261403.149569000,,,,,,,,,,,,,
,19,,,,,,,,,,,,
,,105,,,,2409,2606,52414,443,,,,Unverified
1724261403.172868000,,,,,,,,,,,,,
,20,,,,,,,,,,,,
,,104,,,,2409,2606,52414,443,,,,Unverified
1724261403.304889000,,,,,,,,,,,,,
,21,,,,,,,,,,,,
,,103,,,,2409,2,53541,443,,,,Unverified
