destination_ips,source_ips,time_variance,max_occuring_byte_size,byte_size_variance,protocols,number_of_packets,label
"192.168.189.50,51.116.253.168","192.168.189.50,51.116.253.168",0.6444751428638176,66,305513.8353846154,6,26,Normal
"192.168.189.50,51.116.253.168","192.168.189.50,51.116.253.168",1.2366916345069319,66,36,6,9,Normal
"104.18.32.7,192.0.73.2,172.217.166.4,192.168.189.50","192.168.189.50,192.0.73.2,172.217.166.4,104.18.32.7",0.43182710983276085,66,287547.9672760099,"17,6",211,Normal
"192.168.189.50,192.0.73.2","192.168.189.50,192.0.73.2",0.1646977892400585,91,457924.21428571426,17,8,Normal
"192.168.189.50,172.217.166.4","192.168.189.50,172.217.166.4",0.027577347949759027,79,15353.237154150198,17,23,Normal
"192.168.189.50,172.217.166.4,51.116.253.168","192.168.189.50,172.217.166.4,51.116.253.168",0.028899876324843327,76,183726.74285714285,"17,6",15,Normal
"192.168.189.50,104.18.39.85,192.168.189.93","192.168.189.50,192.168.189.93",0.3317701565503003,92,6051.571428571428,17,7,Normal
224.0.0.251,192.168.189.50,0,0,0,17,1,Normal
192.168.189.50,192.0.73.2,0,0,0,17,1,Normal
"192.168.189.50,172.217.166.4","192.168.189.50,172.217.166.4",0.3435415170278782,74,44041.81461675579,17,34,Normal
"172.217.166.4,142.250.193.3,20.209.68.33,142.250.206.110,192.168.189.50,142.250.194.163","192.168.189.50,20.209.68.33",2.9296033190757305,72,32614.410714285714,"17,6",8,Normal
"192.168.189.50,20.209.68.33","192.168.189.50,20.209.68.33",0.041129768879924915,54,375113.0955882353,6,17,Normal
"192.168.189.50,172.217.166.4","192.168.189.50,172.217.166.4",0.027953857811317425,74,10737.2,17,21,Normal
"192.168.189.50,18.155.107.66,172.217.166.4","192.168.189.50,172.217.166.4",1.61086104257258,265,263594.27777777775,17,9,Normal
"49.44.114.50,3.233.158.24,18.164.144.10,192.168.189.50,18.155.107.66,18.155.107.28,34.128.128.0,18.155.107.68","49.44.114.50,3.233.158.24,18.164.144.10,192.168.189.50,18.155.107.66,18.155.107.28,34.128.128.0,18.155.107.68",0.6510293727006583,1368,199841.43746452447,"17,6",3873,Normal
"192.168.189.50,18.155.107.66,192.0.73.2","192.168.189.50,18.155.107.66,192.0.73.2",0.9870955195486221,1368,190725.93926988266,17,650,Normal
"192.168.189.50,192.0.73.2,18.155.107.66,20.42.73.26","192.168.189.50,192.0.73.2,18.155.107.66,20.42.73.26",0.25842494540618405,91,321656.20952380955,"17,6",15,Normal
"192.168.189.50,3.233.158.24","192.168.189.50,3.233.158.24",0.06151866320803189,66,63082.96666666667,6,6,Normal
"192.168.189.50,49.44.114.50","192.168.189.50,49.44.114.50",0.013365331090502272,66,0,6,3,Normal
192.168.189.50,192.0.73.2,0,0,0,17,1,Normal
"192.168.189.50,20.189.172.32,172.217.166.4,192.168.189.93","192.168.189.50,20.189.172.32,172.217.166.4,192.168.189.93",0.9649099788962726,74,51151.01587301587,"17,6",28,Normal
"172.217.166.4,20.189.172.32,3.233.158.24,192.168.189.50,192.0.76.3,192.0.77.2,142.250.77.202","172.217.166.4,20.189.172.32,3.233.158.24,192.168.189.50,192.0.76.3,192.0.77.2,142.250.77.202",1.1426414920288643,54,125389.46388508892,"17,6",86,Normal
"192.168.189.50,192.0.76.3","192.168.189.50,192.0.76.3",6.845948519185185e-08,590,143648,6,2,Normal
13.234.41.62,192.168.189.50,0,0,0,6,1,Normal
"192.168.189.50,13.234.41.62","192.168.189.50,13.234.41.62",0.08355555366079642,1334,351127.27092846273,6,73,Normal
"192.168.189.50,192.0.76.3","192.168.189.50,192.0.76.3",0.0017174354555694745,54,275.07272727272726,6,11,Normal
"104.18.32.7,192.168.189.50","192.168.189.50,104.18.32.7",0.019824148742274398,66,287.1,6,6,Normal
